id_acreditado,ciclo,monto,dias_mora,plazo_meses,tasa_interes
1041,1,21068.16,728,10.0,13.266667
1005,2,63204.47,683,12.0,11.6
1023,1,21068.16,688,8.0,13.266667
1018,1,31602.23,694,12.0,13.266667
1014,2,23174.97,687,10.0,13.266667
1024,1,31602.23,704,10.0,11.6
1025,1,21068.16,704,8.0,13.266667
1042,1,21068.16,728,8.0,13.266667
1019,2,26335.190000000002,697,9.0,13.266667
1026,1,26335.190000000002,700,10.0,13.266667
1048,1,31602.23,676,9.0,13.266667
1049,1,31602.23,676,10.0,13.266667
1050,1,31602.23,676,10.0,13.266667
1051,1,31602.23,676,10.0,13.266667
1028,1,26335.190000000002,655,10.0,13.266667
1002,2,29495.420000000002,666,8.0,12.433333
1008,2,31602.23,653,10.0,11.6
1034,1,42136.31,680,12.0,13.266667
1010,2,52670.39,683,12.0,13.266667
1045,1,31602.23,686,8.0,13.266667
1044,1,31602.23,686,10.0,13.266667
1029,1,21068.16,700,8.0,13.266667
1007,2,27388.600000000002,700,9.0,13.266667
1032,1,31602.23,686,10.0,13.266667
1022,1,21068.16,687,8.0,13.266667
1000,2,42136.31,703,12.0,11.6
1040,1,26335.190000000002,673,8.0,13.266667
1004,1,52670.39,640,12.0,11.6
1027,1,42136.31,634,12.0,13.266667
1039,1,15801.12,641,8.0,13.266667
1037,1,21068.16,582,8.0,13.266667
1416,1,10534.08,0,12.0,7.18
3702,1,7373.85,0,5.52,7.18
4401,1,8427.26,0,6.0,7.18
5386,1,26335.190000000002,0,12.0,7.18
1308,1,10534.08,0,12.0,7.18
1380,2,10534.08,0,6.0,7.18
1459,2,21068.16,0,6.0,7.18
1260,1,21068.16,0,12.0,5.37
1558,1,10534.08,0,12.0,7.18
1361,1,7373.85,0,6.0,7.18
1309,2,12640.89,0,6.0,7.18
1625,1,21068.16,0,12.0,7.18
1464,2,8427.26,0,5.52,7.18
1335,1,10534.08,0,12.0,7.18
1296,1,10534.08,0,12.0,7.18
1376,2,15801.12,0,6.0,7.18
1238,1,15801.12,0,12.0,5.37
1480,1,5267.04,0,5.52,7.18
1551,1,10534.08,0,12.0,7.18
1452,2,7373.85,29,6.0,7.18
1415,1,31602.23,8,11.04,7.18
1035,2,42136.31,352,12.0,10.766667
1194,1,36869.270000000004,130,12.0,9.1
1295,1,5267.04,270,6.0,7.18
1176,1,15801.12,0,12.0,7.18
1330,1,10534.08,44,12.0,7.18
1312,1,10534.08,205,12.0,7.18
1451,1,10534.08,217,12.0,7.18
1030,2,84272.62,78,18.0,9.1
1431,1,5267.04,193,6.0,7.18
1347,1,5267.04,98,6.0,7.18
3653,1,5267.04,59,6.0,7.18
1294,2,7373.85,91,5.52,7.18
1378,1,31602.23,242,12.0,7.18
1433,1,5267.04,123,6.0,7.18
1590,1,21068.16,31,12.0,7.18
1167,1,36869.270000000004,99,12.0,
1349,1,15801.12,137,11.04,7.18
1362,1,26335.190000000002,178,11.04,7.18
1360,1,7373.85,178,5.52,7.18
1242,1,31602.23,25,12.0,5.37
1149,1,42136.31,119,12.0,5.84
1304,1,10534.08,240,12.0,7.18
1331,1,5267.04,189,5.52,7.18
1258,2,12640.89,3,12.0,7.18
1418,1,5267.04,73,6.0,7.18
1247,1,36869.270000000004,51,12.0,5.37
1251,1,12640.89,108,12.0,7.18
1055,3,42136.31,0,12.0,7.18
1533,1,12640.89,0,12.0,7.18
1055,2,42136.31,0,12.0,7.18
1281,2,10534.08,0,5.52,7.18
1756,1,31602.23,0,12.0,7.18
1575,2,21068.16,0,12.0,7.18
1510,1,15801.12,0,12.0,7.18
1511,1,10534.08,0,12.0,7.18
1445,2,21068.16,0,6.0,7.18
1759,1,8427.26,0,6.0,7.18
1343,1,21068.16,0,12.0,7.18
1319,2,12640.89,4,6.0,7.18
1350,3,15801.12,0,12.0,7.18
2226,1,5267.04,0,6.0,7.18
1420,1,26335.190000000002,137,12.0,7.18
1571,1,5267.04,123,6.0,7.18
1595,1,10534.08,123,12.0,7.18
1303,1,10534.08,149,12.0,7.18
1324,1,5267.04,269,5.52,7.18
1505,1,10534.08,102,6.0,7.18
1494,1,10534.08,113,11.04,7.18
1332,1,31602.23,196,6.0,5.37
1333,1,5267.04,176,5.52,7.18
1342,1,5267.04,221,6.0,7.18
1341,1,5267.04,256,5.52,7.18
1490,1,5267.04,177,6.0,7.18
1540,1,10534.08,172,12.0,7.18
1439,1,8427.26,170,5.52,7.18
1520,1,10534.08,114,5.52,7.18
1612,1,10534.08,164,6.0,7.18
1618,1,10534.08,11,12.0,7.18
1315,2,12640.89,0,5.52,7.18
3186,1,5267.04,0,5.52,7.18
1352,1,10534.08,240,11.04,7.18
1354,1,10534.08,211,5.52,7.18
1301,2,12640.89,4,5.52,7.18
1283,2,7373.85,116,5.52,7.18
1393,1,10534.08,81,6.0,7.18
1397,1,8427.26,211,5.52,7.18
1311,2,26335.190000000002,0,12.0,7.18
1409,2,10534.08,123,6.0,7.18
1357,1,10534.08,182,7.36,7.18
1374,1,21068.16,88,12.0,7.18
1456,1,5267.04,123,6.0,7.18
1680,1,15801.12,60,12.0,7.18
1557,1,105340.78,30,12.0,7.18
1770,1,8427.26,108,6.0,7.18
1587,1,10534.08,120,5.52,7.18
1482,1,5267.04,106,5.52,7.18
1285,1,12640.89,280,12.0,7.18
1274,1,15801.12,280,6.0,7.18
1317,1,21068.16,204,12.0,7.18
1261,1,10534.08,102,12.0,7.18
1807,1,10534.08,168,5.52,7.18
